DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-05-26,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.455642473872,226.257280625,2263.2221879649974,,46.26510666666667,%,927.233454508875,131.18455025,515.304304571625,0.1064284661129405,822.3104297118374,4574.319947999999,3.761511002079309,544.822476,,production,OP
2014-05-27,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.552816326625,226.285632125,2266.1210064745,,46.226333333333336,%,924.431809852125,131.560194875,512.4894282189999,0.11292122294130774,830.2244054263494,4500.3519,3.7363019803868416,572.8749839999999,,production,OP
2014-05-28,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3180.199889064875,225.400478375,2258.46756272825,,46.215003125,%,921.732326336625,131.914819625,509.88827140262504,0.09969299325103306,826.0164004343899,4371.473897999999,3.6109091338188506,484.0630079999999,,production,OP
2014-05-29,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.94014332725,226.331673875,2270.56210025075,,46.21505770833333,%,920.3780430765,133.107506375,508.39134931275004,0.09940714009537312,826.1832905565794,4395.123546,3.6311776336369816,485.13227399999994,,production,OP
2014-05-30,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.839774009625,226.352504,2272.23732541025,,46.231572291666666,%,918.6024485993751,132.533047625,506.528946571,0.09968799549895145,829.1587452480343,4428.522384,3.6719480632202735,490.3528079999999,,production,OP
2014-05-31,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.741921705625,226.373082125,2273.9563399592503,,46.2074025,%,916.785581746375,132.0728555,504.62874934375003,0.09936848991093444,829.4201407894448,4503.056513999999,3.7349257678247056,496.83130199999994,,production,OP
2014-06-01,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.9192095092503,226.38892362500002,2275.1257148775003,,46.264785,%,915.79349463175,132.73429887499998,503.66411067062495,0.0995660769125564,829.8176264225299,4555.136058,3.7799321916812394,503.68718399999995,,production,OP
2014-06-02,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,22.0,3210.1032179406816,226.08424403766907,2284.904311349367,,41.71340020833333,%,925.1989065913148,123.39314601321362,512.7375511514866,0.09131689194530078,833.5052060594039,2892.2387339999996,2.410696041955659,290.651658,,production,OP
2014-06-03,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3194.3239765592502,226.33668162499998,2289.68363218125,,46.19318770833333,%,904.640344378,127.48400337500001,492.35802691074997,0.10140738879115355,823.3526933520933,4497.83598,3.7033053683889516,507.58686,,production,OP
2014-06-04,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3209.221515448125,226.32966725,2312.646359568625,,46.157305208333334,%,896.5751558795,128.72536887500002,484.23958529325006,0.10136930568446213,828.0023242134022,4445.630639999999,3.680992502514314,501.485754,,production,OP
